cropedno,faculty,semester,subject,year,imagecropped,desc,keyword,fullpaperid
1,BCE,1,DSA,"",ioepng/0.png,"4, Suppose your company has leased the IP address of 222.70.94.0/24 from your ISP. Divide it far five different departments containing 50, 30, 25, 12, 10 no of hosts. There are als0-two points to point links far interconnection between routers. List out the network address, broadcast address, usable IP address range and subnet mask for each subnet. ‘Also mention the unused range of IP addresses. a ","ip subnet routers isp network",1
2,BCE,1,DSA,"",ioepng/1.png,"(6. What are the major task of transport layer? Explain. What is token bucket algorithm? ——_(5+3), ","transport bucket layer token algorithm",1
3,BCE,1,DSA,"",ioepng/2.png,"‘5. What is the purpose of Time to live (TTL) and protocol field in header of IPv4 datagram, ‘Which protocol is used in internet layer to provide feedback to hosts/souters about the ‘problems in the network environment? What is ARP and how does it work? [4193] ","protocol arp ipv4 ttl internet",1
4,BCE,1,DSA,"",ioepng/3.png,"1. What is protocol? What are the reasons for using layered network architecture? Compare OSI with TCPAP reference model. [1s245) ","protocol tcpap layered architecture network",1
5,BCE,1,DSA,"",ioepng/4.png,"2. What is transmission medium? Explain different transmission medium with their merits and demerits. ue    ","transmission medium demerits merits explain",1
6,BCE,1,DSA,"",ioepng/5.png,"3. What is collision? How is it occured? How the possibility of collision is reduced in IEEE 802.3 and IEEE 802.11? Explain, [+146]    ","802 collision ieee 146 11",1
7,BCE,1,DSA,"",ioepng/6.png,"7. What is DNS? Explain the working principle of DNS with a proper diagram. Compare IMAP and POP3 protocols. fea] ","dns protocols imap diagram pop3",1
8,BCE,1,DSA,"",ioepng/7.png,"10. Explain briefly the desirable properties of secure communication. Explain how packet Silering Grewal! works. 4} ","packet communication secure properties silering",1
9,BCE,1,DSA,"",ioepng/8.png,"9, How does a Digital Signature work? Encrypt the world HELLO using RSA algorithm. ‘Also decrypt it by showing steps. +6) ","signature decrypt rsa encrypt algorithm",1
10,BCE,1,DSA,"",ioepng/9.png,"8. ""TPv4 and IPV6 coexistence” what does this mean? Explain Dual stack approach with an ‘appropriate figure. +5} ","ipv6 stack coexistence tpv4 dual",1
11,BCE,1,DSA,"",ioepng/10.png,"10. Explain briefly the desirable properties of secure communication. Explain how packet filtering firewall works. [4+4) ","firewall packet communication properties secure",1
12,BCE,1,DSA,"",ioepng/11.png,"4. Suppose you are a private consultant hired by the large company to setup the network for their enterprise and you are given a large number of consecutive. IP address stating at 120,89.96.0/19. Suppose that four departments A, B, C and D request 100, 500, 800 and 400 addresses respectively, how the subnetting can be performed so, that address wastage will be minimum? 8) ","subnetting ip addresses network minimum",1
13,BCE,1,DSA,"",ioepng/12.png,"1. Draw the architecture for Client/Server network model. Explain in details about P2P ‘network model with supportive examples. 26)    ","p2p network client architecture server",1
14,BCE,1,DSA,"",ioepng/13.png,":? What are the various switching techniques? Elaborate packet switching witha proper diagram. (14245)    ","packet switching diagram techniques various",1
15,BCE,1,DSA,"",ioepng/14.png,"6. Explain connection establishment and termination in TCP. Explain briefly about Leaky- Bucket algorithm for congestion control? 44) ","tcp congestion connection leaky termination",1
16,BCE,1,DSA,"",ioepng/15.png,"‘5, What do you mean by autonomous system? Explain how routing loops are prevented in stance Vector Routing with examples, R65)    ","routing autonomous stance vector loops",1
17,BCE,1,DSA,"",ioepng/16.png,"filtering Tirewall WOrks. hoe 10, Write short notes on: Any two) (44) 8) Digital Signature ») VPN 6) Symmetic key cryptography ","tirewall cryptography vpn filtering signature",1
18,BCE,1,DSA,"",ioepng/17.png,"3. What are multiple access protocols? Describe the various framing techniques at data link layer. 2+61 ","protocols access data layer framing",1
19,BCE,1,DSA,"",ioepng/18.png,"7. Why we need proxy servers? What are the importance of DNS and HTTP(S) while you are browsing any website? +6) ","proxy dns http servers browsing",1
20,BCE,1,DSA,"",ioepng/19.png,"8, “IPv4 and IPV6 coexistence” what does this mean? Explain what you mean by address family translation in IPv4/IPV6 migration process with an appropriate figure. Bis) ","ipv6 coexistence migration ipv4 translation",1
21,BCE,1,DSA,"",ioepng/20.png,"eS Oe Ee ee  filtering firewall Works. a] 10, Write short notes on: (Any two) (44) 9) Digital Signature  b) VPN    ","firewall vpn filtering ee signature",1
